frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport
544	192.168.1.3	54082	185.199.110.133	443
545	192.168.1.3	54082	185.199.110.133	443
546	192.168.1.3	54082	185.199.110.133	443
547	185.199.110.133	443	192.168.1.3	54082
548	185.199.110.133	443	192.168.1.3	54082
549	185.199.110.133	443	192.168.1.3	54082
550	185.199.110.133	443	192.168.1.3	54082
551	185.199.110.133	443	192.168.1.3	54082
552	185.199.110.133	443	192.168.1.3	54082
553	185.199.110.133	443	192.168.1.3	54082
554	185.199.110.133	443	192.168.1.3	54082
555	185.199.110.133	443	192.168.1.3	54082
556	185.199.110.133	443	192.168.1.3	54082
557	185.199.110.133	443	192.168.1.3	54082
558	185.199.110.133	443	192.168.1.3	54082
559	185.199.110.133	443	192.168.1.3	54082
560	185.199.110.133	443	192.168.1.3	54082
561	185.199.110.133	443	192.168.1.3	54082
562	185.199.110.133	443	192.168.1.3	54082
563	185.199.110.133	443	192.168.1.3	54082
564	185.199.110.133	443	192.168.1.3	54082
565	185.199.110.133	443	192.168.1.3	54082
566	192.168.1.3	54082	185.199.110.133	443
567	192.168.1.3	54082	185.199.110.133	443
568	192.168.1.3	54082	185.199.110.133	443
569	192.168.1.3	54082	185.199.110.133	443
570	192.168.1.3	54082	185.199.110.133	443
571	192.168.1.3	54082	185.199.110.133	443
572	192.168.1.3	54082	185.199.110.133	443
573	192.168.1.3	54082	185.199.110.133	443
574	192.168.1.3	54082	185.199.110.133	443
575	192.168.1.3	54082	185.199.110.133	443
576	192.168.1.3	54082	185.199.110.133	443
577	192.168.1.3	54082	185.199.110.133	443
578	192.168.1.3	54082	185.199.110.133	443
579	192.168.1.3	54082	185.199.110.133	443
580	192.168.1.3	54082	185.199.110.133	443
581	192.168.1.3	54082	185.199.110.133	443
582	192.168.1.3	54082	185.199.110.133	443
583	192.168.1.3	54082	185.199.110.133	443
584	192.168.1.3	54082	185.199.110.133	443
585	185.199.110.133	443	192.168.1.3	54082
586	185.199.110.133	443	192.168.1.3	54082
587	192.168.1.3	54082	185.199.110.133	443
588	192.168.1.3	54082	185.199.110.133	443
589	185.199.110.133	443	192.168.1.3	54082
590	185.199.110.133	443	192.168.1.3	54082
591	185.199.110.133	443	192.168.1.3	54082
592	185.199.110.133	443	192.168.1.3	54082
593	185.199.110.133	443	192.168.1.3	54082
594	185.199.110.133	443	192.168.1.3	54082
595	192.168.1.3	54082	185.199.110.133	443
596	192.168.1.3	54082	185.199.110.133	443
597	192.168.1.3	54082	185.199.110.133	443
598	192.168.1.3	54082	185.199.110.133	443
599	192.168.1.3	54082	185.199.110.133	443
600	192.168.1.3	54082	185.199.110.133	443
601	185.199.110.133	443	192.168.1.3	54082
602	185.199.110.133	443	192.168.1.3	54082
603	185.199.110.133	443	192.168.1.3	54082
604	185.199.110.133	443	192.168.1.3	54082
605	185.199.110.133	443	192.168.1.3	54082
606	185.199.110.133	443	192.168.1.3	54082
607	185.199.110.133	443	192.168.1.3	54082
608	185.199.110.133	443	192.168.1.3	54082
609	185.199.110.133	443	192.168.1.3	54082
